Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
70,69,73,152,3,0.117112316,14,0.0067379796
52,86,107,276,5,0.074230306,14,0.025742302
42,102,84,120,13,0.10537694,14,0.068269685
36,105,108,225,13,0.13282773,14,0.094555035
30,104,108,151,24,0.14870544,14,0.111869246
26,117,104,94,24,0.14363383,14,0.13067098
24,110,103,245,24,0.15819474,14,0.13248423
