Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
64,18,34,232,32,1.0,12,8.2747e-27
48,85,99,250,38,1.0,12,7.263596e-24
38,61,40,63,32,1.0,12,1.5514681e-22
32,98,90,54,38,1.0,12,1.2639072e-21
28,69,51,56,32,1.0,12,3.2569285e-18
24,71,56,147,32,1.0,12,1.0740544e-17
22,78,67,81,32,1.0,12,2.757056e-16
