Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
80,46,46,168,32,1.0,12,3.6563134e-15
60,69,35,109,32,1.0,12,2.8501073e-13
48,74,50,300,32,1.0,12,2.7468472e-12
40,79,60,320,32,1.0,12,1.08634835e-13
34,115,133,164,32,0.9999981,12,5.291591e-07
30,93,86,274,32,0.99999654,12,2.6889454e-12
26,93,71,314,32,0.9999907,12,2.0239604e-06
