Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
146,125,95,294,38,1.0,1,3.1962691e-21
110,176,68,112,6,0.9996449,1,1.2198766e-10
88,189,65,255,6,0.9999902,1,3.0380751e-09
72,148,69,355,2,1.0,1,3.491422e-11
62,149,76,182,2,0.99999523,1,5.9157346e-11
54,166,86,78,2,0.9999683,1,1.0387383e-07
48,179,78,357,2,0.9999893,1,7.968815e-07
