Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
146,182,50,314,32,0.90380555,1,0.016828641
110,234,93,191,32,0.99684936,1,0.00064813066
88,196,115,62,32,0.79475427,1,0.009307777
72,190,70,102,32,0.41048276,1,0.09874303
62,185,66,340,32,0.3084575,1,0.21750723
54,219,92,191,6,0.32905027,1,0.083978824
48,202,89,308,6,0.2521403,1,0.2311472
