Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
146,123,50,54,38,1.0,40,1.2647493e-09
110,162,68,233,38,0.99999046,40,4.9007613e-06
88,250,82,343,38,0.5743402,40,0.42565167
72,239,90,207,38,0.6166296,40,0.3833673
62,267,101,73,38,0.68889654,40,0.31109986
54,263,97,72,40,0.82370204,40,0.82370204
48,263,89,141,40,0.9703418,40,0.9703418
