Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
100,100,94,309,12,1.0,14,1.183366e-20
74,127,108,68,10,1.0,14,2.278175e-17
60,146,132,339,24,0.9871889,14,1.1743945e-12
50,140,138,57,24,0.99851435,14,1.4529462e-15
42,149,147,45,24,0.9984906,14,1.778324e-13
38,150,148,108,24,0.9968635,14,8.1597125e-11
34,159,159,186,24,0.99648666,14,5.058045e-09
