Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
76,70,66,56,40,1.0,18,0.0
56,96,53,63,34,1.0,18,0.0
46,102,54,67,34,1.0,18,0.0
38,125,75,277,1,0.9953127,18,1.4908941e-25
32,127,74,7,1,0.9999329,18,6.8341854e-23
28,126,72,259,1,0.999772,18,1.0802347e-18
26,130,77,182,1,0.9970181,18,1.8157514e-18
