Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
306,211,350,321,13,0.9999994,14,6.709583e-08
230,403,368,283,10,0.99999404,14,1.1892649e-12
184,407,354,236,10,0.99998426,14,1.4533101e-11
152,408,389,136,10,0.9999509,14,4.886045e-10
132,449,537,138,25,0.97801137,14,0.00876771
114,478,449,112,13,0.89686614,14,0.0028330544
102,444,454,330,25,0.99037,14,0.0035989434
