Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
114,122,120,60,24,0.82149947,14,5.9845943e-16
86,148,143,68,24,0.9793392,14,1.2064484e-13
68,172,158,151,24,0.8955942,14,5.897417e-12
56,169,172,44,11,0.51101756,14,2.0657123e-10
48,166,156,309,13,0.996201,14,8.626408e-07
42,180,183,89,11,0.77005464,14,9.187833e-07
38,190,178,280,11,0.821266,14,1.2195886e-06
