Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
114,117,41,297,10,1.0,14,4.3989406e-14
86,175,123,273,13,0.999997,14,1.2654943e-08
68,169,141,228,13,0.99989533,14,4.346351e-06
56,170,153,156,13,0.9997838,14,1.2811322e-05
48,173,157,301,13,0.9997818,14,9.542508e-06
42,175,173,349,13,0.99979526,14,9.189057e-07
38,180,182,278,13,0.98630667,14,4.6102312e-05
