Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
104,121,81,303,10,1.0,14,8.0295404e-20
78,137,138,117,10,0.9998734,14,1.8540586e-12
62,146,143,211,10,0.999979,14,8.872345e-12
52,151,148,292,10,0.99997485,14,8.000142e-12
44,154,156,284,10,0.9998833,14,9.847135e-13
40,158,166,343,24,0.9231514,14,1.5881398e-09
34,170,179,357,24,0.92448807,14,2.639483e-09
