Patch_Size,PositionX,PositionY,Rotation,Class_Attack,Probability,Class_Original,Final_Probability
114,107,130,312,11,0.07551329,14,0.05181108
86,147,168,77,13,0.11715404,14,0.00039116348
68,166,159,219,29,0.14228381,14,0.09903459
56,185,182,131,13,0.16078864,14,0.037565507
48,179,183,242,29,0.1674786,14,0.026476614
42,181,174,215,29,0.22550724,14,0.05138284
38,184,180,209,29,0.25048992,14,0.14922005
